n,date,domain,lang,reg,title,url,article_kind,primary_voice,vg,voice_name,voice_affiliation,projected_bloc_seats,stance,claim_strength,no61_kind,stated_probability,p61,side,key_quote,key_quote_en,summary,quote_verified,text_source,snapshot
37,2022-06-06,israelhayom.co.il,he,he,"הערכה: סער לא יפיל את הממשלה; מתקפה על זועבי בקואליציה: ""היא התחרפנה"" | ישראל היום",https://israelhayom.co.il/news/politics/article/11479735,news,author,media,,Israel Hayom,,0,0.3,unclear,,0.5,uncertain,"ההערכה היא כי למרות שחוק תקנות יו״ש לא עבר אמש בכנסת, שר המשפטים גדעון סער לא יפיל את הממשלה","The assessment is that despite the law on West Bank regulations not passing yesterday in the Knesset, Justice Minister Gideon Sa'ar will not topple the government","The author reports an assessment that Justice Minister Sa'ar will not topple the coalition despite legislative failure, but the article focuses on internal coalition tensions and does not project whether Netanyahu's bloc will reach 61 seats in the November election.",False,live,
38,2022-06-07,kikar.co.il,he,he,"נתניהו מתחזק, גדעון סער מתרסק • סקר",https://kikar.co.il/420549.html,poll,poll,polls,Kantar,"Kan News (Israeli public broadcaster), pollster Dudi Hasid, Kantar Institute",60,-0.2,0.85,deadlock,,0.4,no61,"בחלוקה לפי תמונת הגושים, אין שינוי משמעותי: גוש נתניהו, שכולל את הליכוד, הציונות הדתית והמפלגות החרדיות, זוכה רק ל-60 מנדטים","By bloc division, there is no significant change: Netanyahu's bloc, which includes Likud, Religious Zionism and the haredi parties, wins only 60 seats","A Kantar poll for Kan News projects Netanyahu's bloc (Likud + Religious Zionism + haredi parties) at 60 seats, one short of a 61-seat majority, indicating a deadlock scenario.",True,live,
39,2022-06-07,jpost.com,en,il_en,Netanyahu-bloc would earn 60 seats in next elections - KAN poll,https://jpost.com/israel-news/article-708809,poll,poll,polls,KAN News,KAN News,60,-0.2,0.85,deadlock,,0.4,no61,"The bloc supporting former prime minister Benjamin Netanyahu would earn 60 seats, not a majority but potentially enough to form a coalition, according to a new poll published by KAN News on Tuesday evening.","The bloc supporting former prime minister Benjamin Netanyahu would earn 60 seats, not a majority but potentially enough to form a coalition, according to a new poll published by KAN News on Tuesday evening.","KAN News poll projects Netanyahu's bloc at 60 seats—one short of a majority, suggesting a difficult coalition formation but not ruling it out.",True,live,
40,2022-06-08,timesofisrael.com,en,il_en,"Netanyahu-led bloc would win 60 seats if elections held, 1 short of majority — poll",https://timesofisrael.com/netanyahu-led-bloc-would-win-60-seats-if-elections-held-1-short-of-majority-poll,poll,poll,polls,Kantar Insights,Kantar Insights,60,-0.2,0.95,deadlock,,0.4,no61,"Netanyahu-led bloc would win 60 seats if elections held, 1 short of majority — poll. The overall outcome would effectively replicate the current stalemate in the Knesset, with neither the opposition nor the government earning a parliamentary majority.","Netanyahu-led bloc would win 60 seats if elections held, 1 short of majority — poll. The overall outcome would effectively replicate the current stalemate in the Knesset, with neither the opposition nor the government earning a parliamentary majority.","A Kantar Insights poll projects Netanyahu's bloc at 60 seats, one short of the 61-seat majority needed, effectively replicating current Knesset deadlock.",True,wayback,20220608104718
41,2022-06-09,spectator.co.uk,en,intl,Is a return to power in Netanyahu's grasp?,https://spectator.co.uk/article/is-a-return-to-power-in-netanyahus-grasp,analysis,author,media,Anshel Pfeffer,The Spectator,54,-0.5,0.75,deadlock,,0.25,no61,"In the 120-seat Knesset, he currently has the potential support of 54 members, seven short of the majority he needs to form a new government... Seven more still seems an impossible task... The likelier option would be to try to dissolve the Knesset and hold new elections... But not all opposition members, worried for their own seats, are up for it.","In the 120-seat Knesset, he currently has the potential support of 54 members, seven short of the majority he needs to form a new government... Seven more still seems an impossible task... The likelier option would be to try to dissolve the Knesset and hold new elections... But not all opposition members, worried for their own seats, are up for it.","Anshel Pfeffer argues that Netanyahu's bloc currently has only 54 seats (7 short of 61) and faces an 'impossible task' gaining seven more, though new elections remain possible but uncertain in outcome.",True,wayback,20220609174025
42,2022-06-10,israelinfo.co.il,ru,ru,"Опрос: израильтяне предпочитают сохранить правительство Беннета, но будут голосовать за Нетанияху",https://news.israelinfo.co.il/politics/103489,poll,poll,polls,Kamila Fuchs group / Hadashot 13,Hadashot 13,60,-0.2,0.7,deadlock,,0.4,no61,"Согласно опросу, блок Нетанияху на выборах наберет 60 мандатов, его соперники — только 53, Мансур Аббас не преодолеет электоральный барьер.","According to the poll, Netanyahu's bloc will receive 60 seats in the elections, his opponents only 53, Mansur Abbas will not overcome the electoral threshold.","A Kamila Fuchs poll for Hadashot 13 projects Netanyahu's bloc at 60 seats (one short of 61), though respondents paradoxically prefer keeping Bennett's current government.",True,live,
43,2022-06-10,jewishpress.com,en,il_en,"Panels Politics Poll: Netanyahu Could Lead a 69-Member Right-Wing-Only Coalition But He Won't | The Jewish Press - JewishPress.com | David Israel | 11 Sivan 5782 – June 10, 2022",https://jewishpress.com/news/israel/israeli-arabs/panels-politics-poll-netanyahu-could-lead-a-69-member-right-wing-only-coalition-but-he-wont/2022/06/10,analysis,author,media,David Israel,Jewish Press,60,-0.2,0.7,unity_govt,,0.4,no61,"The latest Panels Politics poll, published by Ma'ariv Friday morning, shows the Likud under Netanyahu with 34 seats, Religious Zionism with 11, Shas with 8, and United Torah Judaism with 7. Amazingly, that comes up to 60 without having to compromise with questionable center-left partners such as Blue & White Chairman Benny Gantz. But it's not enough for a solid right-wing coalition.","The latest Panels Politics poll, published by Ma'ariv Friday morning, shows the Likud under Netanyahu with 34 seats, Religious Zionism with 11, Shas with 8, and United Torah Judaism with 7. Amazingly, that comes up to 60 without having to compromise with questionable center-left partners such as Blue & White Chairman Benny Gantz. But it's not enough for a solid right-wing coalition.","David Israel reports a Panels Politics poll showing Netanyahu's bloc at 60 seats (1 short of 61), and argues Netanyahu will likely form a unity government with Gantz rather than pursue a right-wing-only coalition, despite the ideological preference.",True,wayback,20220610122050
44,2022-06-10,inn.co.il,he,he,סקר מנדטים: מפלגת הציונות הדתית עולה ל־11 מנדטים,https://inn.co.il/news/568107,poll,poll,polls,Panels Politics,"Panels Politics (מכון פאנלס פוליטיקס), directed by Menachem Lazer",59,-0.4,0.85,deadlock,,0.3,no61,גוש תומכי נתניהו עדיין לא מצליח לחצות את רף 60 המנדטים אולם הוא קרוב מאוד לכך,"Netanyahu's bloc still fails to cross the 60-seat threshold, but it is very close to doing so","Panels Politics poll projects Netanyahu's bloc at 59 seats (Likud 34 + Religious Zionism 11 + Shas 7 + United Torah Judaism 7), falling short of the 61-seat majority needed, though described as 'very close.'",True,live,
45,2022-06-13,inn.co.il,he,he,"סקר: גוש נתניהו מתקרב ל-61, סער נותר בחוץ",https://inn.co.il/news/568385,poll,poll,polls,Channel 12 News,Channel 12 News,60,-0.2,0.7,deadlock,,0.4,no61,"הליכוד היתה המפלגה הגדולה בישראל עם 36 מנדטים... רשימת הציונות הדתית מתחזקת לתשעה מנדטים. סיעת ש""ס נהנית משמונה מנדטים, יהדות התורה עם שבעה מנדטים","Likud would be the largest party in Israel with 36 seats... Religious Zionism strengthens to nine seats. Shas enjoys eight seats, United Torah Judaism with seven seats",A Channel 12 News poll projects Netanyahu's bloc (Likud 36 + Religious Zionism 9 + Shas 8 + United Torah Judaism 7 = 60 seats) falling one seat short of a 61-seat majority.,True,live,
46,2022-06-13,maariv.co.il,he,he,"סקר מנדטים: מפלגה בקואליציה נמחקת, והאם נתניהו יוכל להקים ממשלה?",https://maariv.co.il/news/politics/Article-924686,poll,poll,polls,,Maariv,60,-0.4,0.85,deadlock,,0.3,no61,בלוק נתניהו יזכה ל-60. חמישה מנדטים נוספים תקבל הרשימה המשותפת,Netanyahu's bloc will receive 60 [seats]. Five additional seats will go to the Joint List.,"A Maariv poll projects Netanyahu's bloc at 60 seats, one short of the 61-seat majority needed to form a government.",True,live,
47,2022-06-13,srugim.co.il,he,he,סקר: הימין נוסק; קואליציית בנט - לפיד מתפוררת,https://srugim.co.il/682221-%D7%A1%D7%A7%D7%A8-%D7%94%D7%99%D7%9E%D7%99%D7%9F-%D7%A0%D7%95%D7%A1%D7%A7-%D7%A7%D7%95%D7%90%D7%9C%D7%99%D7%A6%D7%99%D7%99%D7%AA-%D7%91%D7%A0%D7%98-%D7%9C%D7%A4%D7%99%D7%93-%D7%9E%D7%AA%D7%A4,poll,poll,polls,Midgam (מדגם),Midgam Institute for Channel 12 News,60,0.0,0.85,deadlock,,0.5,uncertain,"סקר מנדטים חדש מעניק לקואליציה 55 מנדטים בלבד, לעומת 60 מנדטים אליהם מגיעות מפלגות האופוזיציה בראשות בנימין נתניהו.","A new seat poll gives the coalition only 55 seats, compared to 60 seats reached by opposition parties led by Benjamin Netanyahu.","A Midgam poll projects Netanyahu's bloc (Likud + Religious Zionism + Shas + UTJ) at 60 seats versus the current coalition at 55, suggesting a narrow opposition lead but short of a 61-seat majority.",True,live,
